iter	MultiClass
402	0.4379503172
403	0.4378541566
404	0.4374577219
405	0.4372716111
406	0.4372683898
407	0.4370434394
408	0.436869519
409	0.4366610215
410	0.4364046736
411	0.436187294
412	0.4360021738
413	0.4357063391
414	0.4355899982
415	0.4352952178
416	0.435158456
417	0.4350192657
418	0.4349154615
419	0.4347630899
420	0.4345094986
421	0.4343359503
422	0.4341976299
423	0.43389829
424	0.4336402415
425	0.4334283312
426	0.4332661235
427	0.4330141574
428	0.4328479899
429	0.4326746848
430	0.4324928357
431	0.4323821673
432	0.4321269575
433	0.4317766251
434	0.4314757929
435	0.4312300246
436	0.430978157
437	0.4308617712
438	0.4306400551
439	0.4304519565
440	0.4301191204
441	0.4298153281
442	0.4295130556
443	0.4293171137
444	0.4291027305
445	0.4289667276
446	0.4287999058
447	0.4286326493
448	0.4283675299
449	0.4282564358
450	0.4281275248
451	0.4280074902
452	0.4279468648
453	0.4277631592
454	0.4276671679
455	0.427402657
456	0.4271393105
457	0.4268653214
458	0.426653494
459	0.4265530274
460	0.4264697719
461	0.4263005349
462	0.426191421
463	0.4259976199
464	0.4257353297
465	0.4255109354
466	0.4253584539
467	0.4251098698
468	0.4248382131
469	0.4245899067
470	0.4242711596
471	0.4240319755
472	0.4238576247
473	0.4236801782
474	0.4234440565
475	0.4231979409
476	0.4230641971
477	0.4229390153
478	0.4228331428
479	0.4226515876
480	0.4225252318
481	0.4222125873
482	0.4220559291
483	0.4218412058
484	0.4215979804
485	0.4214427137
486	0.4212846424
487	0.4211077722
488	0.4208960949
489	0.4206530737
490	0.4205063826
491	0.4203989848
492	0.42014477
493	0.4200066669
494	0.4198151299
495	0.4196129055
496	0.419345473
497	0.4191717351
498	0.4190586947
499	0.4189181104
500	0.4186511554
501	0.4184142246
502	0.418158307
503	0.4180677131
504	0.417881356
505	0.4177783544
506	0.4176004045
507	0.4174518667
508	0.4172941222
509	0.4169909594
510	0.4168046525
511	0.4166262513
512	0.4164229668
513	0.4162326427
514	0.4161137469
515	0.4160206074
516	0.4158679723
517	0.4156692985
518	0.4153987121
519	0.415226275
520	0.4150902588
521	0.4149477973
522	0.4147201147
523	0.414552499
524	0.4144639764
525	0.4143381034
526	0.4142412217
527	0.4140465785
528	0.4137380861
529	0.4135772972
530	0.4134733091
531	0.4131711002
532	0.413048576
533	0.4128513602
534	0.4127446745
535	0.4125871637
536	0.4123710917
537	0.4121680524
538	0.4120092149
539	0.4118454024
540	0.4116837294
541	0.4115485947
542	0.4113924962
543	0.4110936413
544	0.4109215708
545	0.4107177
546	0.4105849726
547	0.4103608292
548	0.4101173541
549	0.4099917002
550	0.4097577609
551	0.409601886
552	0.409477733
553	0.4093397228
554	0.4091344141
555	0.409062586
556	0.4089343156
557	0.4088610332
558	0.4086955475
559	0.4084726988
560	0.4082471271
561	0.4081306794
562	0.4080277415
563	0.4078816096
564	0.4077372142
565	0.4076368437
566	0.4075138447
567	0.4073462814
568	0.4072562368
569	0.4071030733
570	0.4069169462
571	0.4067653688
572	0.4066995818
573	0.4066071703
574	0.4064498547
575	0.4062882713
576	0.4062016446
577	0.406066427
578	0.4059899653
579	0.4058556311
580	0.4057020261
581	0.4055525013
582	0.4053452861
583	0.4052080588
584	0.4050436218
585	0.40495506
586	0.4048526886
587	0.4047184976
588	0.4045644912
589	0.4044205978
590	0.4042413848
591	0.4041294726
592	0.4039865663
593	0.4038631315
594	0.4037634489
595	0.4036115233
596	0.4035076679
597	0.4033679357
598	0.4031394559
599	0.4029318986
600	0.4028613368
601	0.4027261048
602	0.4026001019
603	0.4024861794
604	0.4022748254
605	0.4021974584
606	0.4020075432
607	0.4018234411
608	0.4016599907
609	0.4014875683
610	0.4013027376
611	0.4011876858
612	0.4009978854
613	0.4009077484
614	0.4008025934
615	0.4006417578
616	0.400466244
617	0.4001835919
618	0.4000177553
619	0.3998786488
620	0.3997434543
621	0.3996180974
622	0.3994954447
623	0.3993791106
624	0.3992416407
625	0.3990506356
626	0.3988585126
627	0.3987838279
628	0.3987100622
629	0.3986142777
630	0.3985292354
631	0.3983856887
632	0.3982224492
633	0.3980957757
634	0.3979596582
635	0.3978085046
636	0.3976215955
637	0.3975101445
638	0.3973709099
639	0.3972145029
640	0.3971254319
641	0.396952972
642	0.3968542216
643	0.3967414826
644	0.39667843
645	0.3965676389
646	0.3963978356
647	0.396247265
648	0.3961406819
649	0.3959713752
650	0.395897539
651	0.3957480289
652	0.3956130946
653	0.3955421251
654	0.3954396137
655	0.3952712689
656	0.3949999429
657	0.3947884756
658	0.3946221445
659	0.3945258469
660	0.3944264467
661	0.3942885325
662	0.3941583119
663	0.3940651038
664	0.3939653834
665	0.3937947488
666	0.3937267441
667	0.393511792
668	0.3933741982
669	0.3933100425
670	0.3932224623
671	0.3930839246
672	0.3930078637
673	0.3928814787
674	0.3927686651
675	0.3926086845
676	0.3924827245
677	0.3923407505
678	0.3921106826
679	0.391991453
680	0.3917520092
681	0.3915293628
682	0.3913802717
683	0.3912556657
684	0.3911695504
685	0.391114066
686	0.3909910035
687	0.3909199302
688	0.3908098554
689	0.3906756352
690	0.3905846539
691	0.3904223535
692	0.3903027562
693	0.3901754683
694	0.390038186
695	0.3899391286
696	0.3898123135
697	0.3896744556
698	0.3895351494
699	0.3893729888
700	0.3892464437
701	0.3891357123
702	0.3889583247
703	0.3887651155
704	0.3885570663
705	0.3884637435
706	0.3883168144
707	0.3882028574
708	0.3879969545
709	0.3878942838
710	0.3877139356
711	0.3875447525
712	0.3874494992
713	0.3872740079
714	0.3871681968
715	0.3870426585
716	0.3868784874
717	0.3867839652
718	0.3867149616
719	0.3865964318
720	0.3864842658
721	0.38636354
722	0.3862500353
723	0.3861433981
724	0.3859790792
725	0.3858863582
726	0.3857489472
727	0.3856912678
728	0.3855724981
729	0.3854785313
730	0.3853208039
731	0.385221428
732	0.3851624805
733	0.3850350561
734	0.3849532531
735	0.384934766
736	0.3847552434
737	0.384627487
738	0.3845086656
739	0.3843617473
740	0.3842456903
741	0.3841320578
742	0.3839993095
743	0.3838959528
744	0.3836962541
745	0.3835055523
746	0.3833975522
747	0.3832987521
748	0.3832630125
749	0.3832044256
750	0.3830481148
751	0.3829430452
752	0.3828975405
753	0.3827771282
754	0.3826696397
755	0.3825494821
756	0.3824768953
757	0.382357494
758	0.3822846613
759	0.3821447823
760	0.3820232113
761	0.3819242467
762	0.3817768859
763	0.3816221518
764	0.3815046727
765	0.3813909511
766	0.3811938119
767	0.3810966087
768	0.3810286468
769	0.3809677451
770	0.3808613776
771	0.3806948903
772	0.3805629115
773	0.3804070064
774	0.3802716306
775	0.3801828354
776	0.3800749384
777	0.3799511485
778	0.3798688929
779	0.3797873322
780	0.3796427147
781	0.3795098841
782	0.3794270825
783	0.3793455588
784	0.3792531536
785	0.3790818297
786	0.3789559125
787	0.3788276513
788	0.3787563224
789	0.3785572212
790	0.3784378228
791	0.3783409888
792	0.3782600312
793	0.378146181
794	0.3779976433
795	0.3779121635
796	0.3777937206
797	0.3777036843
798	0.3776171181
799	0.3775053045
800	0.3774703616
801	0.3773779456
802	0.3772794587
803	0.3771384051
804	0.3769943937
805	0.3768868072
806	0.3767716498
807	0.3767266801
808	0.3766329842
809	0.3765133531
810	0.3764531766
811	0.3763445851
812	0.3762042672
813	0.3759919235
814	0.3759283387
815	0.3758316452
816	0.3757412339
817	0.3756793999
818	0.3755494563
819	0.3754447098
820	0.3753366409
821	0.3752500652
822	0.3751400085
823	0.3750391185
824	0.3749285139
825	0.3748182445
826	0.3747071803
827	0.3745370645
828	0.3744682234
829	0.3743524147
830	0.3742758787
831	0.3742516643
832	0.3741770999
833	0.3740910523
834	0.3739890298
835	0.3738811814
836	0.373754227
837	0.373634792
838	0.3735184057
839	0.3734062296
840	0.3733176966
841	0.3732296951
842	0.3731539114
843	0.3730586918
844	0.3729452728
845	0.3728664067
846	0.37276048
847	0.3726367018
848	0.3725257361
849	0.3724340747
850	0.3722781832
851	0.3721540295
852	0.3720357369
853	0.3719345719
854	0.3718442525
855	0.3717259859
856	0.3716866388
857	0.3715422432
858	0.3713951555
859	0.3713118034
860	0.3712568308
861	0.3711572113
862	0.3710501627
863	0.3709712478
864	0.370879167
865	0.3707366727
866	0.3706506354
867	0.3705812668
868	0.3704774856
869	0.3704527078
870	0.3703349098
871	0.370259972
872	0.3701436132
873	0.3700889176
874	0.3699919719
875	0.3699148794
876	0.3698021661
877	0.3696602835
878	0.3695902301
879	0.3695244082
880	0.36944109
881	0.3693785381
882	0.3693302093
883	0.369243881
884	0.3691326841
885	0.368973355
886	0.3688854484
887	0.3688224566
888	0.3687129115
889	0.3686153791
890	0.3685102959
891	0.3684420192
892	0.368374647
893	0.3682821217
894	0.3681878202
895	0.3680784354
896	0.3679327652
897	0.3678273252
898	0.3677436122
899	0.3676733479
900	0.3675296495
901	0.3674707037
902	0.3673562191
903	0.3671950996
904	0.3670822094
905	0.3669244121
906	0.3668569848
907	0.3667341875
908	0.366622845
909	0.3665126052
910	0.3663893333
911	0.3662750694
912	0.3661728449
913	0.3660836724
914	0.3660404497
915	0.3660010907
916	0.365865012
917	0.3658030496
918	0.3657287489
919	0.3655651288
920	0.365485308
921	0.3653016144
922	0.3652102257
923	0.3650921419
924	0.3649898765
925	0.3649621833
926	0.3648845145
927	0.3647445408
928	0.3646431707
929	0.3645103855
930	0.3644069665
931	0.3643090054
932	0.3642513419
933	0.3641864742
934	0.3640626297
935	0.3639726275
936	0.3638973218
937	0.3637939095
938	0.3636618215
939	0.3636067796
940	0.3635265191
941	0.3634144452
942	0.3633296799
943	0.3632756026
944	0.3631651685
945	0.3631029537
946	0.3630122754
947	0.3629284308
948	0.3628490865
949	0.3627857144
950	0.3626927398
951	0.3626316973
952	0.3625073755
953	0.3623473031
954	0.3622816214
955	0.3621720627
956	0.3620785124
957	0.3619350855
958	0.3618229613
959	0.3617402958
960	0.3616107855
961	0.3615496765
962	0.3614612655
963	0.3613432691
964	0.3612461777
965	0.3611796088
966	0.3610567346
967	0.3609716267
968	0.3609216156
969	0.3608784381
970	0.3608013248
971	0.3607056876
972	0.3606007855
973	0.3604935321
974	0.3603888257
975	0.3603151003
976	0.3601987136
977	0.3600750786
978	0.3599182064
979	0.3597872174
980	0.3597358153
981	0.3595791718
982	0.3595010436
983	0.3594097725
984	0.359335559
985	0.3592812455
986	0.359169109
987	0.3590743347
988	0.3590105869
989	0.3589391876
990	0.3588422286
991	0.3587800229
992	0.3587290959
993	0.3586587294
994	0.3585752454
995	0.3584808711
996	0.358324183
997	0.3582811388
998	0.3581696504
999	0.357998524
