iter	Passed	Remaining
416	2910	4069
417	2917	4062
418	2924	4055
419	2932	4049
420	2937	4040
421	2943	4031
422	2951	4025
423	2957	4018
424	2964	4010
425	2969	4001
426	2975	3992
427	2980	3983
428	2987	3975
429	2993	3968
430	3000	3961
431	3007	3954
432	3013	3946
433	3020	3939
434	3027	3932
435	3033	3924
436	3038	3915
437	3045	3908
438	3051	3899
439	3058	3892
440	3064	3884
441	3069	3875
442	3075	3867
443	3081	3858
444	3087	3850
445	3093	3842
446	3099	3834
447	3106	3827
448	3113	3820
449	3119	3812
450	3125	3805
451	3131	3796
452	3138	3789
453	3145	3783
454	3152	3776
455	3159	3769
456	3165	3760
457	3171	3753
458	3177	3744
459	3183	3737
460	3190	3730
461	3197	3723
462	3203	3715
463	3209	3707
464	3214	3698
465	3220	3690
466	3228	3684
467	3233	3675
468	3240	3668
469	3245	3659
470	3252	3653
471	3259	3645
472	3265	3638
473	3271	3630
474	3278	3623
475	3285	3616
476	3292	3609
477	3299	3603
478	3306	3595
479	3312	3588
480	3320	3582
481	3325	3574
482	3333	3567
483	3338	3559
484	3344	3551
485	3350	3543
486	3357	3536
487	3364	3529
488	3371	3523
489	3377	3515
490	3383	3507
491	3389	3500
492	3395	3492
493	3402	3485
494	3408	3477
495	3414	3469
496	3421	3462
497	3427	3455
498	3435	3449
499	3440	3440
500	3446	3433
501	3452	3425
502	3458	3417
503	3465	3410
504	3472	3403
505	3479	3397
506	3485	3389
507	3492	3382
508	3499	3375
509	3505	3368
510	3512	3361
511	3519	3354
512	3526	3347
513	3532	3340
514	3538	3332
515	3545	3325
516	3552	3318
517	3558	3311
518	3564	3303
519	3571	3296
520	3577	3289
521	3584	3282
522	3591	3275
523	3597	3268
524	3605	3261
525	3610	3254
526	3617	3246
527	3623	3238
528	3628	3231
529	3634	3223
530	3642	3216
531	3648	3209
532	3655	3203
533	3662	3195
534	3668	3188
535	3674	3180
536	3680	3173
537	3687	3166
538	3693	3158
539	3698	3150
540	3706	3144
541	3713	3137
542	3719	3130
543	3725	3122
544	3731	3115
545	3738	3108
546	3745	3102
547	3752	3095
548	3759	3088
549	3765	3081
550	3772	3073
551	3778	3066
552	3785	3060
553	3791	3052
554	3797	3045
555	3806	3039
556	3813	3032
557	3820	3025
558	3826	3018
559	3833	3011
560	3839	3004
561	3845	2997
562	3852	2990
563	3859	2983
564	3866	2977
565	3873	2970
566	3880	2963
567	3885	2955
568	3893	2948
569	3899	2941
570	3905	2934
571	3912	2927
572	3918	2920
573	3925	2913
574	3940	2912
575	3947	2905
576	3953	2898
577	3960	2891
578	3967	2884
579	3973	2877
580	3978	2869
581	3984	2861
582	3990	2854
583	3997	2847
584	4003	2839
585	4010	2833
586	4016	2826
587	4023	2819
588	4029	2811
589	4035	2804
590	4041	2796
591	4048	2789
592	4054	2782
593	4060	2775
594	4068	2769
595	4075	2762
596	4082	2755
597	4088	2748
598	4096	2742
599	4102	2735
600	4109	2728
601	4116	2721
602	4123	2714
603	4130	2707
604	4135	2700
605	4141	2692
606	4148	2686
607	4154	2678
608	4161	2671
609	4167	2664
610	4174	2657
611	4181	2651
612	4187	2643
613	4193	2636
614	4200	2629
615	4206	2622
616	4214	2615
617	4221	2609
618	4226	2601
619	4233	2594
620	4240	2587
621	4245	2580
622	4251	2572
623	4258	2565
624	4263	2558
625	4269	2551
626	4275	2543
627	4282	2536
628	4289	2530
629	4296	2523
630	4301	2515
631	4307	2508
632	4313	2500
633	4319	2493
634	4325	2486
635	4331	2478
636	4338	2472
637	4344	2465
638	4350	2457
639	4357	2451
640	4364	2444
641	4368	2436
642	4375	2429
643	4382	2422
644	4389	2415
645	4396	2409
646	4402	2402
647	4408	2394
648	4414	2387
649	4420	2380
650	4427	2373
651	4434	2366
652	4441	2360
653	4448	2353
654	4455	2346
655	4461	2339
656	4468	2332
657	4475	2326
658	4481	2319
659	4488	2312
660	4494	2305
661	4500	2297
662	4507	2291
663	4514	2284
664	4521	2277
665	4526	2270
666	4532	2262
667	4538	2255
668	4545	2249
669	4554	2243
670	4561	2236
671	4567	2229
672	4574	2222
673	4580	2215
674	4587	2208
675	4593	2201
676	4599	2194
677	4606	2187
678	4612	2180
679	4618	2173
680	4625	2166
681	4631	2159
682	4637	2152
683	4643	2145
684	4650	2138
685	4656	2131
686	4663	2124
687	4670	2118
688	4677	2111
689	4684	2104
690	4691	2097
691	4696	2090
692	4702	2083
693	4708	2076
694	4714	2068
695	4721	2062
696	4728	2055
697	4735	2048
698	4740	2041
699	4746	2034
700	4753	2027
701	4760	2020
702	4766	2013
703	4772	2006
704	4778	1999
705	4784	1992
706	4790	1985
707	4797	1978
708	4803	1971
709	4810	1964
710	4816	1957
711	4821	1950
712	4828	1943
713	4834	1936
714	4841	1929
715	4848	1923
716	4854	1915
717	4860	1909
718	4867	1902
719	4874	1895
720	4881	1888
721	4888	1882
722	4894	1875
723	4900	1868
724	4906	1861
725	4912	1853
726	4918	1846
727	4926	1840
728	4934	1834
729	4940	1827
730	4946	1820
731	4952	1813
732	4958	1806
733	4963	1798
734	4971	1792
735	4974	1784
736	4981	1777
737	4987	1770
738	4994	1763
739	5000	1756
740	5007	1750
741	5013	1743
742	5018	1735
743	5025	1729
744	5030	1722
745	5037	1715
746	5043	1708
747	5049	1701
748	5057	1694
749	5064	1688
750	5072	1681
751	5080	1675
752	5087	1668
753	5095	1662
754	5104	1656
755	5110	1649
756	5116	1642
757	5123	1635
758	5131	1629
759	5138	1622
760	5145	1615
761	5151	1609
762	5157	1602
763	5165	1595
764	5172	1588
765	5178	1581
766	5184	1574
767	5190	1568
768	5197	1561
769	5204	1554
770	5210	1547
771	5216	1540
772	5223	1534
773	5229	1527
774	5236	1520
775	5242	1513
776	5249	1506
777	5256	1499
778	5262	1493
779	5269	1486
780	5275	1479
781	5283	1472
782	5291	1466
783	5298	1459
784	5305	1453
785	5313	1446
786	5319	1439
787	5326	1432
788	5332	1426
789	5339	1419
790	5347	1412
791	5354	1406
792	5361	1399
793	5369	1393
794	5375	1386
795	5381	1379
796	5388	1372
797	5395	1365
798	5402	1359
799	5408	1352
800	5415	1345
801	5422	1338
802	5428	1331
803	5436	1325
804	5443	1318
805	5449	1311
806	5456	1305
807	5464	1298
808	5471	1291
809	5478	1284
810	5485	1278
811	5491	1271
812	5498	1264
813	5505	1257
814	5511	1251
815	5517	1244
816	5524	1237
817	5531	1230
818	5538	1224
819	5545	1217
820	5551	1210
821	5559	1203
822	5565	1196
823	5571	1190
824	5578	1183
825	5585	1176
826	5592	1169
827	5599	1163
828	5607	1156
829	5614	1149
830	5621	1143
831	5629	1136
832	5636	1130
833	5643	1123
834	5651	1116
835	5658	1110
836	5664	1103
837	5670	1096
838	5678	1089
839	5686	1083
840	5693	1076
841	5699	1069
842	5705	1062
843	5711	1055
844	5719	1049
845	5725	1042
846	5731	1035
847	5737	1028
848	5744	1021
849	5750	1014
850	5757	1008
851	5763	1001
852	5769	994
853	5777	987
854	5784	980
855	5791	974
856	5797	967
857	5804	960
858	5811	953
859	5817	947
860	5824	940
861	5831	933
862	5838	926
863	5844	919
864	5850	913
865	5856	906
866	5862	899
867	5868	892
868	5875	885
869	5880	878
870	5886	871
871	5892	864
872	5898	858
873	5904	851
874	5911	844
875	5918	837
876	5924	830
877	5931	824
878	5939	817
879	5946	810
880	5952	804
881	5959	797
882	5966	790
883	5972	783
884	5978	776
885	5984	770
886	5991	763
887	5997	756
888	6004	749
889	6010	742
890	6017	736
891	6023	729
892	6029	722
893	6036	715
894	6043	709
895	6049	702
896	6055	695
897	6062	688
898	6069	681
899	6076	675
900	6083	668
901	6089	661
902	6096	654
903	6101	647
904	6108	641
905	6114	634
906	6120	627
907	6126	620
908	6133	613
909	6139	607
910	6144	600
911	6150	593
912	6157	586
913	6162	579
914	6168	573
915	6175	566
916	6181	559
917	6188	552
918	6194	546
919	6199	539
920	6206	532
921	6213	525
922	6218	518
923	6225	512
924	6231	505
925	6237	498
926	6244	491
927	6251	485
928	6256	478
929	6262	471
930	6269	464
931	6276	457
932	6282	451
933	6288	444
934	6295	437
935	6301	430
936	6307	424
937	6313	417
938	6320	410
939	6326	403
940	6332	397
941	6339	390
942	6345	383
943	6352	376
944	6358	370
945	6363	363
946	6369	356
947	6376	349
948	6382	342
949	6390	336
950	6397	329
951	6406	322
952	6411	316
953	6417	309
954	6424	302
955	6431	296
956	6438	289
957	6444	282
958	6450	275
959	6456	269
960	6463	262
961	6469	255
962	6476	248
963	6481	242
964	6488	235
965	6494	228
966	6500	221
967	6506	215
968	6514	208
969	6520	201
970	6526	194
971	6533	188
972	6539	181
973	6546	174
974	6553	168
975	6560	161
976	6566	154
977	6571	147
978	6578	141
979	6585	134
980	6593	127
981	6599	120
982	6605	114
983	6611	107
984	6619	100
985	6625	94
986	6632	87
987	6638	80
988	6645	73
989	6651	67
990	6657	60
991	6663	53
992	6669	47
993	6675	40
994	6682	33
995	6688	26
996	6695	20
997	6703	13
998	6709	6
999	6716	0
